City,Total Population,Under 5,Under 18,Over 64,Median Age(years),Minority Percent(%),Median Income($),Per Capita Income($),Percent Impoverished(%),Total Housing Units,Median Year Built,Median Value($),Total,Vacant Percent(%),Families,Married Couples,Other Families,Male Householder,Female Householder,Non-Family Households,Householder Living Alone,Householder Not Living Alone,Total Tenure,Mortgage,No Home Loan,Rented
CA_Acton,7596,310,1672,833,46,13.6,90888,35943,6.3,2814,1985,561900,2660,6,2081,1771,310,116,194,579,436,143,2660,2044,342,274
CA_Agoura Hills,20330,896,4904,2290,42,15.7,106886,53776,4,7585,1979,740200,7327,3,5593,4565,1028,302,726,1734,1346,388,7327,4941,774,1612
CA_Agoura Hills-Malibu,20330,896,4904,2290,42,15.7,106886,53776,4,7585,1979,740200,7327,3,5593,4565,1028,302,726,1734,1346,388,7327,4941,774,1612
CA_Agua Dulce,3342,121,645,463,47,14.6,96536,40703,4.4,1277,1987,699700,1201,6,925,795,130,58,72,276,200,76,1201,874,184,143
CA_Alhambra,83089,4319,15707,11912,39,71.7,51527,24327,12.7,30915,1954,514800,29217,6,20594,13679,6915,2097,4818,8623,6479,2144,29217,8442,3474,17301
CA_Alondra Park,8592,686,2332,770,34,56.8,52346,22258,18.9,2818,1958,465900,2719,4,2048,1383,665,223,442,671,513,158,2719,1070,292,1357
CA_Altadena,42777,2447,9507,6064,42,47.2,82839,38541,9.2,15947,1945,639600,15212,5,10708,7684,3024,814,2210,4504,3489,1015,15212,8979,1910,4323
CA_Arcadia,56364,2432,12290,9214,43,67.7,77024,37973,9.1,20686,1962,786400,19592,5,15005,11703,3302,865,2437,4587,3855,732,19592,8614,3757,7221
CA_Artesia,16522,880,3719,2248,38,61,56777,21032,9.3,4697,1962,475500,4535,3,3677,2673,1004,334,670,858,661,197,4535,1834,689,2012
CA_Avalon,3728,258,960,406,38,38,47634,24077,11.5,2266,1958,843000,1473,35,891,641,250,90,160,582,461,121,1473,217,166,1090
CA_Avocado Heights,15411,1092,4210,1673,34,44.4,68767,21435,13.3,3922,1965,461900,3813,3,3304,2351,953,331,622,509,368,141,3813,2294,640,879
CA_Azusa,46361,3488,12407,3576,29,42.4,51894,18576,17.4,13386,1970,385200,12716,5,9599,6310,3289,1014,2275,3117,2238,879,12716,5469,1333,5914
CA_Baldwin Park,75390,5905,22571,6059,31,56.1,50346,15228,15.9,17736,1966,358800,17189,3,15155,10097,5058,1700,3358,2034,1474,560,17189,8549,1804,6836
CA_Bell,35477,3122,11363,2396,29,46.2,38473,12671,22.6,9217,1952,340300,8870,4,7557,4659,2898,1019,1879,1313,967,346,8870,2056,514,6300
CA_Bell Gardens,42072,3901,14308,2201,27,50.5,39167,12146,22.7,9986,1965,394600,9655,3,8572,5298,3274,1128,2146,1083,750,333,9655,1865,453,7337
CA_Bellflower,76616,5841,21749,6617,32,57.8,50565,20345,13.1,24897,1962,423400,17769,5,17769,10992,6777,1965,4812,0,4618,0,23651,7422,2037,14192
CA_Beverly Hills,34109,1283,6623,6516,44,17.6,83463,66769,7.9,16394,1950,1000000,14869,9,8461,6613,1848,494,1354,6408,5400,1008,14869,4464,2097,8308
CA_Bradbury,1048,36,173,209,49,37.8,147841,63098,5,400,1972,1000000,354,12,273,231,42,15,27,81,61,20,354,238,69,47
CA_Burbank,103340,5134,20488,13794,39,27.3,63356,33320,8.2,44309,1955,608800,41940,5,25422,18388,7034,2050,4984,16518,12823,3695,41940,14717,3748,23475
CA_Calabasas,23058,1131,5841,2903,42,16.1,116403,61595,6,8878,1984,962700,8543,4,6381,5124,1257,315,942,2162,1624,538,8543,5262,1025,2256
CA_Carson,91714,5265,21992,12640,38,76.2,68425,23318,8,26226,1965,422100,25432,3,20726,14178,6548,1761,4787,4706,3776,930,25432,15420,4109,5903
CA_Castaic,19015,1291,5761,1091,36,28.4,102272,36340,5.8,5932,1992,512900,5751,3,4838,3943,895,313,582,913,650,263,5751,4526,317,908
CA_Cerritos,49041,1935,10013,8671,44,76.9,88743,32778,6.1,15859,1974,633500,13355,2,13355,10843,2512,628,1884,0,1801,0,15526,9465,3246,2815
CA_Charter Oak,9310,559,2352,921,35,39.8,67175,25231,9.5,3144,1968,395300,3044,3,2265,1486,779,226,553,779,601,178,3044,1605,393,1046
CA_Citrus,10866,863,3083,851,31,45.7,65654,21358,9,2701,1957,366200,2615,3,2195,1524,671,229,442,420,278,142,2615,1561,293,761
CA_Claremont,34926,1297,6459,5770,39,29.4,82012,36407,6.4,12156,1967,594600,11608,5,7925,6305,1620,397,1223,3683,2957,726,11608,5951,1749,3908
CA_Commerce,12823,1030,3824,1370,31,46,50667,15773,13.8,3470,1956,389600,3382,3,2709,1693,1016,308,708,673,559,114,3382,1200,419,1763
CA_Compton,96455,8871,31945,7198,28,74.1,43201,13542,22.8,24523,1954,330100,23062,6,19263,10536,8727,2354,6373,3799,2979,820,23062,10604,2122,10336
CA_Covina,47796,3028,11896,5570,36,41.5,64141,24713,10.7,16576,1960,446600,15855,4,11818,7931,3887,1072,2815,4037,3153,884,15855,7249,2007,6599
CA_Cudahy,23805,2182,8325,1222,27,50.8,41805,12084,24.3,5770,1966,350300,5607,3,4989,2941,2048,686,1362,618,399,219,5607,731,280,4596
CA_Culver City,38883,2072,7312,5806,41,39.7,72199,40523,7.2,17491,1960,618600,16779,4,9344,6826,2518,636,1882,7435,5649,1786,16779,6994,2117,7668
CA_Del Aire,10001,653,2328,1061,36,39.5,82251,30072,4.6,3428,1951,530300,3291,4,2375,1764,611,191,420,916,674,242,3291,1806,462,1023
CA_Desert View Highlands,2360,174,746,205,31,45.5,73167,18819,18.3,764,1957,235100,678,11,534,342,192,57,135,144,109,35,678,359,84,235
CA_Diamond Bar,55544,2389,11895,6486,41,66.8,87216,33145,4.6,18455,1979,574900,17880,3,14843,11792,3051,886,2165,3037,2308,729,17880,12063,2450,3367
CA_Downey,111772,7814,29972,11579,33,43.4,59674,22731,10,35601,1958,522800,33936,5,26490,17405,9085,2796,6289,7446,5721,1725,33936,13484,3651,16801
CA_Duarte,36590,2374,8514,4241,38,40.1,65477,31582,9.8,14473,1959,561000,13762,5,9146,6295,2851,778,2073,4616,3649,967,13762,5547,1262,6953
CA_East Compton,15135,1542,5311,806,26,68.5,46409,12781,17.4,3186,1952,326100,2996,6,2667,1626,1041,302,739,329,228,101,2996,1452,186,1358
CA_East La Mirada,9757,623,2356,1259,36,28,72764,26519,7,3391,1965,513500,3295,3,2506,1826,680,201,479,789,619,170,3295,1656,469,1170
CA_East Los Angeles,126496,11132,39804,10864,29,49.5,37128,12633,24.1,32201,1952,369200,30816,4,25839,15497,10342,3238,7104,4977,3781,1196,30816,8073,2913,19830
CA_East Pasadena,6144,340,1303,957,41,48.2,69315,39826,6.3,2184,1945,631400,2096,4,1514,1158,356,115,241,582,441,141,2096,1034,401,661
CA_East Rancho Dominguez,15135,1542,5311,806,26,68.5,46409,12781,17.4,3186,1952,326100,2996,6,2667,1626,1041,302,739,329,228,101,2996,1452,186,1358
CA_East San Gabriel,14874,788,3255,2022,40,66.1,74018,32260,6.9,5365,1958,631700,5134,4,3834,2871,963,313,650,1300,1064,236,5134,2160,779,2195
CA_East San Gabriel Valley,14874,788,3255,2022,40,66.1,74018,32260,6.9,5365,1958,631700,5134,4,3834,2871,963,313,650,1300,1064,236,5134,2160,779,2195
CA_El Monte,113475,8993,32234,10597,32,61.2,42750,14303,20.7,29069,1965,396600,27814,4,23347,15087,8260,2962,5298,4467,3130,1337,27814,8547,3193,16074
CA_El Segundo,16654,831,3719,1678,39,22,89926,47421,3.3,7410,1963,804800,7085,4,4105,3050,1055,326,729,2980,2254,726,7085,2428,606,4051
CA_Elizabeth Lake,1756,88,403,148,42,9.4,92344,34725,0.7,745,1981,344000,674,10,489,399,90,36,54,185,151,34,674,508,53,113
CA_Florence-Graham,63387,6359,22198,3421,26,62.3,35851,11236,28.7,14765,1951,339400,13900,6,12182,7058,5124,1665,3459,1718,1178,540,13900,4160,941,8799
CA_Gardena,58829,3718,13410,8324,38,75.4,46837,21636,15.9,21472,1959,417800,20558,4,14199,8782,5417,1486,3931,6359,5142,1217,20558,7163,2689,10706
CA_Glendale,191719,9168,35732,29918,41,28.9,54677,29823,13,76269,1960,635100,72269,5,50087,37486,12601,3693,8908,22182,18021,4161,72269,21968,5567,44734
CA_Glendora,50073,2506,11757,7079,40,24.9,75954,32951,6.5,17778,1963,529200,17141,4,13014,9848,3166,886,2280,4127,3256,871,17141,9544,2845,4752
CA_Green Valley,1027,51,195,133,47,12.3,85729,35987,3,515,1983,288200,443,14,284,214,70,39,31,159,129,30,443,291,68,84
CA_Hacienda Heights,54038,2630,11864,8322,40,59.5,69501,28084,7.7,16650,1970,513200,16193,3,13506,10151,3355,1024,2331,2687,2111,576,16193,9489,3231,3473
CA_Hasley Canyon,1137,35,283,122,43,15,89531,49557,3,406,1985,647700,383,6,308,263,45,22,23,75,59,16,383,271,77,35
CA_Hawaiian Gardens,14254,1282,4576,1126,28,54.6,52034,15515,15.8,3703,1966,351000,3562,4,2870,1819,1051,337,714,692,534,158,3562,1191,386,1985
CA_Hawthorne,84293,6764,23157,6219,32,67.2,44469,19616,16.1,29869,1966,501400,28486,5,19559,10833,8726,2357,6369,8927,7125,1802,28486,6364,1259,20863
CA_Hermosa Beach,19506,992,3093,1757,37,13.2,99976,66771,5.1,10162,1967,1000000,9550,6,4039,3254,785,325,460,5511,3644,1867,9550,3454,801,5295
CA_Hidden Hills,1856,57,531,295,46,7.7,250000,115121,2.4,626,1971,1000000,593,5,517,453,64,24,40,76,61,15,593,421,131,41
CA_Huntington Park,58114,5088,18439,3863,29,48.8,37224,12563,24,15151,1952,397700,14597,4,12296,7461,4835,1623,3212,2301,1644,657,14597,3298,638,10661
CA_Industry,219,9,59,22,38,41.1,75521,40001,37.3,73,1959,366700,69,6,53,37,16,9,7,16,12,4,69,11,11,47
CA_Inglewood,109673,8044,29293,10256,33,76.7,43460,19508,19.8,38429,1958,419300,36389,5,25019,13095,11924,2937,8987,11370,9346,2024,36389,11574,1873,22942
CA_Irwindale,1422,95,373,151,34,41.4,59028,18684,11.4,390,1965,395100,374,4,309,189,120,32,88,65,48,17,374,210,51,113
CA_La Canada Flintridge,20246,748,5315,3187,46,31.1,136818,75160,3.2,7089,1956,1000000,6849,3,5768,5029,739,214,525,1081,924,157,6849,4683,1437,729
CA_La Crescenta-Montrose,19653,862,4612,2428,42,34.8,83833,37218,6.5,7350,1956,695900,7088,4,5272,4190,1082,298,784,1816,1533,283,7088,3699,869,2520
CA_La Habra Heights,5325,196,1019,1036,48,27.6,121380,53711,2.1,1880,1965,906500,1805,4,1491,1289,202,79,123,314,253,61,1805,1240,442,123
CA_La Mirada,48527,2488,10246,7377,38,39.3,79347,28367,5.2,15092,1959,508100,14681,3,11504,8971,2533,802,1731,3177,2536,641,14681,8972,2636,3073
CA_La Puente,39816,2974,11423,3666,32,50.6,51023,15006,12,9761,1959,372300,9451,3,8121,5367,2754,930,1824,1330,989,341,9451,4639,1054,3758
CA_La Verne,31063,1356,6605,5257,43,25.8,77227,32343,6.8,11686,1976,512400,11261,4,8213,6286,1927,489,1438,3048,2517,531,11261,5959,2429,2873
CA_Ladera Heights,6498,232,1122,1528,49,84.9,93066,55282,4.1,2867,1959,875400,2751,4,1815,1240,575,113,462,936,778,158,2751,1628,399,724
CA_Lake Hughes,649,37,105,75,47,16.2,51500,28563,16.5,400,1965,346700,300,25,156,114,42,16,26,144,111,33,300,139,36,125
CA_Lake Los Angeles,12328,1015,4089,937,30,44.3,45917,14946,27.8,3658,1984,218000,3267,11,2665,1793,872,324,548,602,445,157,3267,2061,313,893
CA_Lakewood,80048,4857,19476,9086,38,44,77380,28764,5.2,27470,1956,499100,26543,3,20382,14711,5671,1696,3975,6161,4719,1442,26543,15364,3767,7412
CA_Lancaster,156633,12484,47160,12659,30,50.4,51192,20256,20.2,51835,1984,252100,46992,9,34978,22108,12870,3389,9481,12014,9239,2775,46992,23379,4987,18626
CA_Lawndale,32769,2468,8927,2256,32,56.4,48357,18948,15.8,10151,1968,439500,9681,5,7161,4467,2694,881,1813,2520,1758,762,9681,2789,537,6355
CA_Lennox,22753,2078,7553,1218,28,62.1,36311,11278,30.1,5487,1960,423000,5250,4,4523,2866,1657,608,1049,727,510,217,5250,1323,246,3681
CA_Leona Valley,1607,59,335,251,47,9.4,76964,36288,13.4,677,1981,485800,590,13,444,394,50,23,27,146,114,32,590,404,111,75
CA_Littlerock,1377,102,419,109,32,41.3,58833,21003,10.9,461,1974,290300,417,10,319,224,95,34,61,98,77,21,417,218,51,148
CA_Lomita,20256,1271,4378,2532,40,40.8,62464,29536,8.6,8412,1962,532100,8068,4,5050,3409,1641,481,1160,3018,2420,598,8068,2751,987,4330
CA_Long Beach,462257,32474,115143,42835,33,53.9,51173,25929,19.1,176032,1956,508900,163531,7,99229,61850,37379,10598,26781,64302,46536,17766,163531,54767,13182,95582
CA_Long Beach-Lakewood,462257,32474,115143,42835,33,53.9,51173,25929,19.1,176032,1956,508900,163531,7,99229,61850,37379,10598,26781,64302,46536,17766,163531,54767,13182,95582
CA_Los Angeles,3792621,251097,874525,396696,34,50.2,49138,27620,19.5,1413995,1960,553900,1318168,7,807326,522345,284981,88059,196922,510842,373529,137313,1318168,402420,101443,814305
CA_Lynwood,69772,6326,22977,3770,28,60.7,43654,12674,20.1,15277,1953,406500,14680,4,13138,8303,4835,1569,3266,1542,1064,478,14680,6018,811,7851
CA_Malibu,12645,408,2366,2322,48,8.5,125202,87648,6.3,6864,1972,1000000,5267,23,3196,2571,625,222,403,2071,1498,573,5267,2657,1059,1551
CA_Manhattan Beach,35135,2031,8725,4457,41,15.5,131723,80390,3,14929,1963,1000000,14038,6,8913,7583,1330,438,892,5125,3627,1498,14038,7289,2131,4618
CA_Marina del Rey,8866,273,565,1191,40,20.2,86326,67590,9.8,6742,1971,462700,5600,17,1658,1317,341,126,215,3942,3037,905,5600,344,300,4956
CA_Mayflower Village,5515,345,1197,758,41,46.9,75711,28683,6,1975,1953,521100,1905,4,1425,1078,347,98,249,480,385,95,1905,1163,396,346
CA_Maywood,27395,2587,8925,1642,28,48,38740,12164,22.5,6766,1951,360200,6559,3,5692,3721,1971,717,1254,867,599,268,6559,1652,328,4579
CA_Monrovia,36590,2374,8514,4241,38,40.1,65477,31582,9.8,14473,1959,561000,13762,5,9146,6295,2851,778,2073,4616,3649,967,13762,5547,1262,6953
CA_Montebello,62500,4299,16142,8520,35,46.2,50881,20373,14.9,19768,1960,456500,19012,4,14770,9088,5682,1651,4031,4242,3350,892,19012,6184,2582,10246
CA_Monterey Park,60269,2736,10932,11656,43,80.6,52159,23860,12.6,20850,1962,495600,19963,4,15241,10538,4703,1460,3243,4722,3641,1081,19963,7002,4056,8905
CA_Newhall,176320,11152,46180,16851,36,29.1,82642,32862,7.6,62055,1983,465700,59507,4,44336,34126,10210,3322,6888,15171,11634,3537,59507,36648,5687,17172
CA_North Antelope Valley,156633,12484,47160,12659,30,50.4,51192,20256,20.2,51835,1984,252100,46992,9,34978,22108,12870,3389,9481,12014,9239,2775,46992,23379,4987,18626
CA_North El Monte,3723,198,742,609,42,52.5,71199,27566,4.1,1304,1955,492700,1254,4,966,747,219,56,163,288,218,70,1254,710,235,309
CA_Norwalk,105549,7416,29164,10431,33,50.6,60488,19302,11.1,28083,1957,398300,27130,3,22583,15190,7393,2348,5045,4547,3417,1130,27130,14321,3350,9459
CA_Palmdale,152750,12606,50514,10107,30,51,55696,19410,17.7,46544,1988,277700,42952,8,35338,24199,11139,3318,7821,7614,5828,1786,42952,26036,3131,13785
CA_Palos Verdes,41643,1540,9248,9654,48,38.3,114668,57181,3.9,16179,1966,1000000,15561,4,12143,10465,1678,460,1218,3418,2936,482,15561,8828,3657,3076
CA_Palos Verdes Estates,13438,475,3113,3248,50,23,163542,91413,1.8,5283,1962,1000000,5066,4,4083,3649,434,138,296,983,848,135,5066,3215,1281,570
CA_Paramount,54098,4685,17630,3416,29,57.5,41333,13936,19.2,14571,1967,336300,13881,5,11351,6919,4432,1328,3104,2530,1904,626,13881,4691,1333,7857
CA_Pasadena,137122,8274,26507,18562,37,44.2,65422,38650,13.5,59551,1956,657300,55270,7,30876,22285,8591,2460,6131,24394,18838,5556,55270,19744,5119,30407
CA_Pico Rivera,62942,4262,16792,7631,34,40.6,57594,18118,11,17109,1957,414200,16566,3,13647,8843,4804,1470,3334,2919,2276,643,16566,8811,2629,5126
CA_Pomona,149058,12011,43853,11370,30,52,50497,16682,17.2,40685,1966,355900,38477,5,30259,19986,10273,3313,6960,8218,5810,2408,38477,17789,3408,17280
CA_Quartz Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_Rancho Palos Verdes,41643,1540,9248,9654,48,38.3,114668,57181,3.9,16179,1966,1000000,15561,4,12143,10465,1678,460,1218,3418,2936,482,15561,8828,3657,3076
CA_Redondo Beach,66748,4189,12887,6982,39,25.4,91737,50291,5.5,30609,1971,767800,29011,5,16229,12507,3722,1207,2515,12782,9252,3530,29011,12326,2591,14094
CA_Rolling Hills,1860,44,404,513,52,22.7,219688,128307,1.1,716,1959,1000000,663,7,539,491,48,21,27,124,98,26,663,417,218,28
CA_Rolling Hills Estates,8067,293,1890,1869,49,32.3,142763,74433,1.7,3100,1967,1000000,2965,4,2375,2100,275,83,192,590,512,78,2965,1966,748,251
CA_Rose Hills,2803,137,540,377,42,43.9,90682,44803,7.5,1051,1982,641200,1016,3,753,585,168,48,120,263,226,37,1016,752,143,121
CA_Rosemead,53764,2909,12231,6964,38,78.9,46706,17749,14.2,14805,1958,470700,14247,4,11903,8028,3875,1373,2502,2344,1739,605,14247,4869,2103,7275
CA_Rowland Heights,48993,2360,9960,6442,40,76.5,68645,25261,10.5,15152,1976,550400,14520,4,12314,9137,3177,1097,2080,2206,1585,621,14520,7412,2399,4709
CA_San Dimas,33371,1453,6989,5183,43,28,74150,32345,5.4,12506,1976,488300,12030,4,8679,6604,2075,613,1462,3351,2668,683,12030,6872,1885,3273
CA_San Fernando,23645,1895,6941,1993,31,49,49716,15374,17.2,6291,1953,377000,5967,5,4972,3282,1690,592,1098,995,731,264,5967,2582,670,2715
CA_San Fernando Valley,3792621,251097,874525,396696,34,50.2,49138,27620,19.5,1413995,1960,553900,1318168,7,807326,522345,284981,88059,196922,510842,373529,137313,1318168,402420,101443,814305
CA_San Gabriel,39718,2084,7866,5574,40,74.6,56720,24816,13.7,13237,1956,569100,12542,5,9594,6668,2926,965,1961,2948,2121,827,12542,4488,1680,6374
CA_San Marino,13147,515,3422,2309,45,58.7,154962,75663,3.5,4477,1942,1000000,4330,3,3730,3220,510,143,367,600,531,69,4330,2718,1241,371
CA_San Pasqual,2041,122,365,283,41,34.1,79643,48071,8.3,961,1951,750000,909,5,537,426,111,36,75,372,301,71,909,414,119,376
CA_Santa Clarita,176320,11152,46180,16851,36,29.1,82642,32862,7.6,62055,1983,465700,59507,4,44336,34126,10210,3322,6888,15171,11634,3537,59507,36648,5687,17172
CA_Santa Fe Springs,16223,973,4286,2160,35,41.4,54252,18466,8.9,4976,1959,426700,4747,5,3687,2354,1333,368,965,1060,894,166,4747,2178,716,1853
CA_Santa Monica,89736,3696,12580,13416,40,22.4,68842,58399,11.1,50912,1963,985500,46917,8,17929,13092,4837,1327,3510,28988,22716,6272,46917,10094,3221,33602
CA_Sierra Madre,10917,513,2095,1895,47,17.9,82675,51429,6.9,5113,1955,800800,4837,5,2872,2291,581,139,442,1965,1596,369,4837,2194,794,1849
CA_Signal Hill,11016,824,2624,912,36,57.8,70286,36509,7.9,4389,1979,461800,4157,5,2498,1580,918,258,660,1659,1128,531,4157,1921,220,2016
CA_Antelope Valley,156633,12484,47160,12659,30,50.4,51192,20256,20.2,51835,1984,252100,46992,9,34978,22108,12870,3389,9481,12014,9239,2775,46992,23379,4987,18626
CA_South Bay Cities,19506,992,3093,1757,37,13.2,99976,66771,5.1,10162,1967,1000000,9550,6,4039,3254,785,325,460,5511,3644,1867,9550,3454,801,5295
CA_South El Monte,20116,1694,6041,1796,30,49.6,46037,14147,15.6,4711,1958,382200,4569,3,4003,2554,1449,524,925,566,397,169,4569,1515,693,2361
CA_South Gate,94396,7963,29374,6623,29,49.5,43268,13913,18.5,24160,1951,376700,23278,4,20150,13183,6967,2261,4706,3128,2292,836,23278,9074,1584,12620
CA_South Monrovia Island,6777,515,1937,549,32,49.3,57300,16650,12.7,1613,1951,395800,1551,4,1320,907,413,142,271,231,179,52,1551,943,208,400
CA_South Pasadena,25619,1325,5998,3104,40,45.7,82340,48108,6.6,11118,1950,828100,10467,6,6619,4904,1715,451,1264,3848,3073,775,10467,3643,1144,5680
CA_South San Gabriel,8070,430,1648,1352,41,72.8,60338,21577,12.2,2353,1963,432700,2249,4,1853,1249,604,211,393,396,308,88,2249,1099,498,652
CA_South San Jose Hills,20551,1624,6250,1640,30,54.7,52277,13397,12.2,4239,1963,363200,4112,3,3700,2565,1135,405,730,412,285,127,4112,2382,749,981
CA_South Whittier,57156,4089,16274,4985,32,41.1,65043,20754,10.8,15600,1957,421000,15067,3,12454,8500,3954,1276,2678,2613,1943,670,15067,7870,1693,5504
CA_Stevenson Ranch,17557,1089,5659,1098,37,35.8,110284,43232,6.1,5842,1998,673000,5663,3,4525,3761,764,231,533,1138,828,310,5663,3953,218,1492
CA_Sun Village,11565,838,3583,989,31,41.2,50482,17462,14.3,3343,1983,236400,3003,10,2430,1788,642,251,391,573,406,167,3003,1880,358,765
CA_Temple City,35558,1609,7549,5361,42,66.4,65668,26587,7.1,12117,1957,582100,11606,4,9005,6605,2400,686,1714,2601,1973,628,11606,5367,2086,4153
CA_Topanga,8289,392,1682,1169,46,11.8,120234,73108,4.8,3750,1968,1000000,3442,8,2174,1772,402,140,262,1268,903,365,3442,1999,590,853
CA_Torrance,145438,7520,31831,21726,41,48.9,74163,36007,6.3,58377,1963,657700,56001,4,38412,29754,8658,2510,6148,17589,14472,3117,56001,22978,8643,24380
CA_Upper San Gabriel Valley,56364,2432,12290,9214,43,67.7,77024,37973,9.1,20686,1962,786400,19592,5,15005,11703,3302,865,2437,4587,3855,732,19592,8614,3757,7221
CA_Val Verde,2468,180,706,124,32,43.1,57024,15724,9.1,715,1984,368200,671,6,534,404,130,43,87,137,90,47,671,464,57,150
CA_Valinda,22822,1667,6672,1988,32,51.5,61233,17283,8.8,5071,1958,392600,4927,3,4393,3100,1293,479,814,534,375,159,4927,3203,552,1172
CA_Vernon,112,1,21,14,37,11.6,38625,14898,9.4,29,1955,325000,28,3,22,13,9,6,3,6,5,1,28,1,3,24
CA_View Park-Windsor Hills,11075,455,2090,2358,47,94,82660,43086,6.8,4777,1947,677100,4535,5,2965,1704,1261,276,985,1570,1354,216,4535,2674,601,1260
CA_Vincent,15922,1104,4536,1419,32,45.5,65625,19465,12.1,4016,1956,400400,3900,3,3389,2367,1022,361,661,511,364,147,3900,2579,506,815
CA_Walnut,29172,1014,6088,3564,43,76.3,100182,33596,4.9,8753,1982,650900,8533,3,7677,6298,1379,394,985,856,627,229,8533,6049,1487,997
CA_Walnut Park,15966,1298,4742,1288,30,43.3,40401,11849,27.6,3744,1944,400500,3612,4,3161,2060,1101,353,748,451,317,134,3612,1571,353,1688
CA_West Athens,8729,655,2539,896,32,81.9,41087,18117,21.2,2691,1958,437900,2525,6,2029,1028,1001,227,774,496,378,118,2525,1113,215,1197
CA_West Carson,21699,1211,4066,3903,42,64.8,65799,27863,6.6,7426,1969,444100,7166,4,5062,3634,1428,450,978,2104,1687,417,7166,3963,1496,1707
CA_West Compton,5669,403,1661,682,33,81.4,46716,19266,12.2,1582,1956,344800,1537,3,1267,623,644,139,505,270,210,60,1537,861,253,423
CA_West Covina,106098,6370,26075,12863,36,57.2,69587,25303,8.7,32705,1966,465400,31596,3,25360,17650,7710,2308,5402,6236,4795,1441,31596,16666,4037,10893
CA_West Hollywood,34399,665,1578,5125,40,15.8,52009,51314,13.2,24588,1960,656000,22511,8,4343,3060,1283,431,852,18168,13434,4734,22511,4125,851,17535
CA_West Puente Valley,22636,1568,6325,2482,33,49.7,62097,16317,11.8,4898,1957,406800,4788,2,4243,2930,1313,403,910,545,426,119,4788,3111,776,901
CA_West Rancho Dominguez,5669,403,1661,682,33,81.4,46716,19266,12.2,1582,1956,344800,1537,3,1267,623,644,139,505,270,210,60,1537,861,253,423
CA_West Whittier-Los Nietos,25540,1770,6901,2852,34,40.6,55879,19600,10,6923,1955,411900,6698,3,5601,3684,1917,598,1319,1097,843,254,6698,3797,1100,1801
CA_Westlake Village,8270,295,1737,1757,49,11.4,116213,63206,3.4,3384,1976,825700,3262,4,2396,1985,411,119,292,866,712,154,3262,2192,553,517
CA_Westmont,31853,2695,9860,2678,30,84.2,32973,14349,29.6,10588,1953,395000,9695,8,7093,2995,4098,904,3194,2602,2141,461,9695,2570,442,6683
CA_Whittier,85331,5687,21686,10001,35,35.4,65308,26943,9.2,29591,1957,512400,28273,5,20614,14152,6462,1896,4566,7659,6096,1563,28273,12917,3290,12066
CA_Willowbrook,35983,3156,11790,2898,28,77.1,37465,13579,25.4,9600,1956,328900,8721,9,7120,3626,3494,859,2635,1601,1336,265,8721,3650,875,4196
